source,item_path,name,kind,ext,bytes,sha256,lines,rows,columns,members,depth,headings_count,ids_unique
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O01/supersession_graph.json,supersession_graph.json,text,.json,6835,732e4aa26314820515ac31d83d75cf57b99449fa1ddb66afe0efec1e8915a19b,169,,,,1,0,37
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O02/dependency_resolution.csv,dependency_resolution.csv,text,.csv,24843,132af3f0fa8de985454fbac805fc9770941ad7a071a985357e62eb607e68b25b,73,73,9,,1,0,72
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O02/github_tree_exact_sha.json,github_tree_exact_sha.json,text,.json,210869,a66079ac6c394ac18ab59794bc33a146efd0d830757891738eb9cb1f2e2d8119,5043,,,,1,0,14
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O02/input_inventory.json,input_inventory.json,text,.json,15548,2304a57b9ccce87f5dfb201f45177c6cd151354527376f9bba2834a5ad814fb5,392,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O02/official_benchmark_decisions.json,official_benchmark_decisions.json,text,.json,2818,dc82184d1818098e35eaabe3247c3795abed12e7f790925e4852855c7e25368b,65,,,,1,0,9
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O02/source_authority_graph.json,source_authority_graph.json,text,.json,79035,154032439dcb3a3cfe80414c4b4ef3d8b11f648c0496ab5dc8e69206ed364d54,1472,,,,1,0,94
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O03/adjudication_limits.json,adjudication_limits.json,text,.json,457,63fc3b5dc8ebdc806f96c1dde2e5676b04b9d556d2fe6bfe44884a75225aca79,8,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O03/curated_capability_registry.json,curated_capability_registry.json,text,.json,14524,d45290fffd48b4f939edb573e625d87d0db1baf2226c5ea4d6deeed44b8db2c4,382,,,,1,0,38
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O03/curated_surface_disposition_crosswalk.csv,curated_surface_disposition_crosswalk.csv,text,.csv,122707,20cdc0d6a73b5c2b19a0e2ded89a285bd3b1dcb2d8a9620e1624a36386ce2be3,875,875,5,,1,0,38
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O03/positive_preservation_and_improvement_register.csv,positive_preservation_and_improvement_register.csv,text,.csv,23937,59bfbe6430ab2cd465c6ea92aaf859779fee4a1a6fff1509435c7770bb1ce8c1,39,39,8,,1,0,38
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O04/architecture_decision_records.json,architecture_decision_records.json,text,.json,3471,a5e922498ca62de9ee2216905a029cc77d8b97c52bb06262db655d1b4c56ef09,66,,,,1,0,8
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O04/shared_mechanical_protocols.json,shared_mechanical_protocols.json,text,.json,7257,741795bec23106afb040d696343594648e3aeb6ec2dea4b72b8bb2ad29a9bfae,216,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O04/state_ownership.json,state_ownership.json,text,.json,3913,8cf0a3a8440c8a6a36113570f4dcb7afa969ab6d47f580e9f3798a699fea4150,153,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O05/archetype_library.json,archetype_library.json,text,.json,17183,a222604c5b5bbe159eaa6be9ffaf944359db56b2ee1dbda9fcd74abf74812ac2,564,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O05/surface_contracts.json,surface_contracts.json,text,.json,32636,3d8bf45e702ae3b3282d3dcea8fb78896c578216360822ab74dfeb03336a1318,1049,,,,1,0,9
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O05/surface_state_acceptance_matrix.csv,surface_state_acceptance_matrix.csv,text,.csv,44723,11f86cc200bb0b761990f03911d67f6d813c2b4a39cdc5fab916432036c223ff,139,139,9,,1,0,132
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O06/ActionSurface.schema.json,ActionSurface.schema.json,text,.json,1913,eebffa3c7e26c3f1f7a61da0c10d67b25e3f1b74f74eb6b8eb86504cd5c94918,97,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O06/action_surface_contract.json,action_surface_contract.json,text,.json,961,52bd06a0508943a7b78360e111d99f532dbaa0031cbf479c6dccf556d7ffa33d,40,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O06/semantic_command_registry.json,semantic_command_registry.json,text,.json,26813,1a65e35935ae2709813a5cb3cb33f969121fc3aaede1bb91d5723e5a3b84a161,715,,,,1,0,0
CONTROL_CENTER,CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/LINEAGE/predecessor_v1/O07/PreferenceProfile.schema.json,PreferenceProfile.schema.json,text,.json,994,e586ae95bc226ed5867132ebd134498771aa4e4d96caeba646f9be5d1808efe7,53,,,,1,0,0
